city,ssp,epoch,n_seeds,mean_gap,ci_lo,ci_hi,sign
Tianjin,SSP1-2.6,2050,6,0.00503,-0.02113,0.02605,zero-crossing
Tianjin,SSP1-2.6,2060,6,0.00613,-0.00874,0.03165,zero-crossing
Tianjin,SSP1-2.6,2070,6,-0.00299,-0.03156,0.02358,zero-crossing
Tianjin,SSP1-2.6,2080,6,0.00829,-0.00163,0.01526,zero-crossing
Tianjin,SSP1-2.6,2090,6,0.00367,-0.01372,0.0177,zero-crossing
Tianjin,SSP1-2.6,2100,6,0.01524,-0.00557,0.03359,zero-crossing
Tianjin,SSP2-4.5,2030,6,0.01181,-0.00218,0.02911,zero-crossing
Tianjin,SSP2-4.5,2040,6,0.02228,0.01349,0.03508,positive
Tianjin,SSP2-4.5,2050,6,0.02195,0.00596,0.03611,positive
Tianjin,SSP2-4.5,2060,6,0.01269,0.00242,0.02799,positive
Tianjin,SSP2-4.5,2070,6,0.00882,-0.0013,0.01694,zero-crossing
Tianjin,SSP2-4.5,2080,6,0.01318,-0.00914,0.0291,zero-crossing
Tianjin,SSP2-4.5,2090,6,0.01803,0.00088,0.03017,positive
Tianjin,SSP2-4.5,2100,6,0.01389,-0.00201,0.02974,zero-crossing
Tianjin,SSP5-8.5,2030,6,0.00196,-0.00814,0.01129,zero-crossing
Tianjin,SSP5-8.5,2040,6,-0.01386,-0.03904,-0.00114,negative
Tianjin,SSP5-8.5,2050,6,0.00598,-0.01289,0.03367,zero-crossing
Tianjin,SSP5-8.5,2060,6,0.01271,-0.005,0.03284,zero-crossing
Tianjin,SSP5-8.5,2070,6,0.0097,-0.00189,0.02179,zero-crossing
Tianjin,SSP5-8.5,2080,6,0.00644,-0.01278,0.03244,zero-crossing
Tianjin,SSP5-8.5,2090,6,0.01075,-0.00609,0.03275,zero-crossing
Tianjin,SSP5-8.5,2100,6,0.00796,-0.01034,0.01899,zero-crossing
Bangkok,Control-NoCC,2030,6,-0.00531,-0.02463,0.01532,zero-crossing
Bangkok,Control-NoCC,2040,6,0.00879,-0.00676,0.02103,zero-crossing
Bangkok,Control-NoCC,2050,6,-0.00221,-0.03129,0.01556,zero-crossing
Bangkok,Control-NoCC,2060,6,0.00588,-0.01563,0.02237,zero-crossing
Bangkok,Control-NoCC,2070,6,0.00796,-0.00606,0.02294,zero-crossing
Bangkok,Control-NoCC,2080,6,-0.01255,-0.03951,0.00596,zero-crossing
Bangkok,Control-NoCC,2090,6,0.00678,-0.01903,0.02718,zero-crossing
Bangkok,Control-NoCC,2100,6,0.00573,-0.00922,0.02571,zero-crossing
Bangkok,SSP1-2.6,2030,6,0.01747,-0.00653,0.03312,zero-crossing
Bangkok,SSP1-2.6,2040,6,0.00881,0.00014,0.02429,positive
Bangkok,SSP1-2.6,2050,6,0.01031,-0.00594,0.03258,zero-crossing
Bangkok,SSP1-2.6,2060,6,0.00565,-0.0046,0.01537,zero-crossing
Bangkok,SSP1-2.6,2070,6,0.00749,-0.01444,0.02861,zero-crossing
Bangkok,SSP1-2.6,2080,6,0.00737,0.00325,0.01238,positive
Bangkok,SSP1-2.6,2090,6,0.01158,0.00065,0.02202,positive
Bangkok,SSP1-2.6,2100,6,0.01085,-0.00645,0.02543,zero-crossing
Bangkok,SSP2-4.5,2030,6,0.01458,-0.00256,0.03317,zero-crossing
Bangkok,SSP2-4.5,2040,6,0.02232,0.01473,0.02939,positive
Bangkok,SSP2-4.5,2050,6,0.02021,0.0038,0.0372,positive
Bangkok,SSP2-4.5,2060,6,0.01399,-0.00054,0.0331,zero-crossing
Bangkok,SSP2-4.5,2070,6,0.00996,-0.00447,0.02172,zero-crossing
Bangkok,SSP2-4.5,2080,6,0.00974,-0.01341,0.02592,zero-crossing
Bangkok,SSP2-4.5,2090,6,0.01387,-0.00902,0.02326,zero-crossing
Bangkok,SSP2-4.5,2100,6,0.01422,-0.00635,0.03135,zero-crossing
Bangkok,SSP5-8.5,2030,6,-0.00638,-0.02004,0.00265,zero-crossing
Bangkok,SSP5-8.5,2040,6,-0.01896,-0.04417,-0.00541,negative
Bangkok,SSP5-8.5,2050,6,-0.00721,-0.03288,0.02595,zero-crossing
Bangkok,SSP5-8.5,2060,6,-0.00552,-0.02425,0.01761,zero-crossing
Bangkok,SSP5-8.5,2070,6,-0.01077,-0.02476,0.00256,zero-crossing
Bangkok,SSP5-8.5,2080,6,-0.00387,-0.03384,0.01913,zero-crossing
Bangkok,SSP5-8.5,2090,6,-0.00528,-0.03315,0.02498,zero-crossing
Bangkok,SSP5-8.5,2100,6,-0.00687,-0.01948,0.00964,zero-crossing
HoChiMinh,Control-NoCC,2030,6,-0.00464,-0.0208,0.01125,zero-crossing
HoChiMinh,Control-NoCC,2040,6,0.00337,-0.01014,0.01263,zero-crossing
HoChiMinh,Control-NoCC,2050,6,0.00173,-0.02552,0.0166,zero-crossing
HoChiMinh,Control-NoCC,2060,6,-0.0005,-0.0207,0.01618,zero-crossing
HoChiMinh,Control-NoCC,2070,6,0.00997,-0.0115,0.02154,zero-crossing
HoChiMinh,Control-NoCC,2080,6,-0.0097,-0.03218,0.00841,zero-crossing
HoChiMinh,Control-NoCC,2090,6,0.00519,-0.01466,0.01773,zero-crossing
HoChiMinh,Control-NoCC,2100,6,4e-05,-0.00611,0.00846,zero-crossing
HoChiMinh,SSP1-2.6,2030,6,0.00635,-0.01511,0.018,zero-crossing
HoChiMinh,SSP1-2.6,2040,6,0.00626,-0.00815,0.01883,zero-crossing
HoChiMinh,SSP1-2.6,2050,6,0.00945,-0.00883,0.02556,zero-crossing
HoChiMinh,SSP1-2.6,2060,6,0.00138,-0.01465,0.01161,zero-crossing
HoChiMinh,SSP1-2.6,2070,6,0.00397,-0.01642,0.0242,zero-crossing
HoChiMinh,SSP1-2.6,2080,6,0.00951,-0.00057,0.01965,zero-crossing
HoChiMinh,SSP1-2.6,2090,6,0.00907,0.00021,0.02091,positive
HoChiMinh,SSP1-2.6,2100,6,0.01027,-0.01184,0.0197,zero-crossing
HoChiMinh,SSP2-4.5,2030,6,0.00782,-0.0072,0.01972,zero-crossing
HoChiMinh,SSP2-4.5,2040,6,0.01661,0.00575,0.02498,positive
HoChiMinh,SSP2-4.5,2050,6,0.02025,0.00857,0.03529,positive
HoChiMinh,SSP2-4.5,2060,6,0.01292,-0.00056,0.03014,zero-crossing
HoChiMinh,SSP2-4.5,2070,6,0.01091,-0.00079,0.02106,zero-crossing
HoChiMinh,SSP2-4.5,2080,6,0.01007,-0.00399,0.03178,zero-crossing
HoChiMinh,SSP2-4.5,2090,6,0.01783,0.00017,0.03212,positive
HoChiMinh,SSP2-4.5,2100,6,0.01623,-0.00123,0.03125,zero-crossing
HoChiMinh,SSP5-8.5,2030,6,-0.00226,-0.01232,0.00474,zero-crossing
HoChiMinh,SSP5-8.5,2040,6,-0.00858,-0.02088,-0.00099,negative
HoChiMinh,SSP5-8.5,2050,6,0.00897,-0.0066,0.03097,zero-crossing
HoChiMinh,SSP5-8.5,2060,6,0.0151,0.00041,0.0297,positive
HoChiMinh,SSP5-8.5,2070,6,0.00264,-0.00731,0.01475,zero-crossing
HoChiMinh,SSP5-8.5,2080,6,0.00996,-0.01297,0.0282,zero-crossing
HoChiMinh,SSP5-8.5,2090,6,0.01675,0.00363,0.03654,positive
HoChiMinh,SSP5-8.5,2100,6,0.01711,0.00606,0.03195,positive
